epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,12417.9,0.67867,0.42784,0.99924,0.91623,0.73864,0.81795,0.59935,1.11788,0.7427,1.31356,0.003862,0.003862,0.003862
64,12607.6,0.67729,0.4279,0.99923,0.9203,0.74629,0.8236,0.60494,1.11152,0.73916,1.31967,0.003763,0.003763,0.003763
65,12797.2,0.67155,0.42519,0.9976,0.91486,0.75245,0.82776,0.62168,1.06706,0.7355,1.29051,0.003664,0.003664,0.003664
66,12990.6,0.66757,0.42024,0.99549,0.8899,0.76019,0.82303,0.61347,1.07822,0.72546,1.29512,0.003565,0.003565,0.003565
67,13188.3,0.66645,0.41897,0.99155,0.91368,0.74741,0.82519,0.6228,1.06743,0.7373,1.29271,0.003466,0.003466,0.003466
68,13398.2,0.65854,0.41496,0.98891,0.89601,0.76346,0.82625,0.6169,1.08699,0.75617,1.30412,0.003367,0.003367,0.003367
69,13602.2,0.65522,0.41189,0.98572,0.92146,0.75282,0.82945,0.6218,1.06837,0.74228,1.29254,0.003268,0.003268,0.003268
70,13801,0.65103,0.40955,0.98374,0.91881,0.75279,0.82616,0.62149,1.06566,0.73356,1.28389,0.003169,0.003169,0.003169
71,13991,0.64609,0.405,0.98404,0.90466,0.75797,0.82541,0.61785,1.0765,0.73507,1.29313,0.00307,0.00307,0.00307
72,14180.6,0.65191,0.4093,0.98366,0.91754,0.75011,0.8231,0.61502,1.0675,0.7279,1.29133,0.002971,0.002971,0.002971
73,14370.1,0.63992,0.40227,0.97953,0.90702,0.75488,0.82562,0.62249,1.0613,0.72802,1.28662,0.002872,0.002872,0.002872
74,14560.2,0.63919,0.40177,0.97842,0.9202,0.74297,0.82077,0.6153,1.08001,0.73149,1.29523,0.002773,0.002773,0.002773
75,14750.1,0.63959,0.39928,0.97818,0.89961,0.75958,0.82412,0.62054,1.07988,0.74917,1.29348,0.002674,0.002674,0.002674
76,14940,0.62955,0.39295,0.97062,0.91964,0.75508,0.82998,0.62614,1.07054,0.73667,1.29026,0.002575,0.002575,0.002575
77,15129.5,0.62867,0.39451,0.97182,0.91375,0.7598,0.82766,0.61809,1.08892,0.74276,1.29886,0.002476,0.002476,0.002476
78,15318.6,0.62532,0.38921,0.96814,0.95118,0.7454,0.83247,0.61264,1.10238,0.74463,1.30538,0.002377,0.002377,0.002377
79,15508.2,0.62312,0.38827,0.96662,0.93764,0.75463,0.83341,0.61427,1.10319,0.73697,1.30739,0.002278,0.002278,0.002278
80,15698,0.62107,0.38839,0.96453,0.94039,0.75485,0.83203,0.61358,1.10376,0.73605,1.30944,0.002179,0.002179,0.002179
81,15887.5,0.61361,0.38395,0.96248,0.92916,0.75798,0.83281,0.61806,1.08093,0.71361,1.29438,0.00208,0.00208,0.00208
82,16077.3,0.60845,0.38138,0.95984,0.91394,0.75692,0.83131,0.61277,1.09338,0.71747,1.30232,0.001981,0.001981,0.001981
83,16267.3,0.60755,0.38119,0.95935,0.9042,0.75941,0.83006,0.61371,1.09397,0.73068,1.30217,0.001882,0.001882,0.001882
84,16456.6,0.60248,0.37551,0.95699,0.92064,0.758,0.83292,0.61746,1.0789,0.72111,1.29544,0.001783,0.001783,0.001783
85,16645.7,0.60023,0.37526,0.95341,0.9169,0.75848,0.83461,0.62433,1.06697,0.71706,1.28922,0.001684,0.001684,0.001684
86,16835.4,0.6005,0.37734,0.95598,0.91524,0.76309,0.83566,0.62267,1.08016,0.71882,1.2935,0.001585,0.001585,0.001585
87,17025.6,0.59546,0.37214,0.95275,0.91739,0.7691,0.83613,0.62552,1.07246,0.71359,1.29166,0.001486,0.001486,0.001486
88,17215.6,0.59201,0.36921,0.94892,0.9133,0.76722,0.83373,0.62265,1.07388,0.71853,1.29458,0.001387,0.001387,0.001387
89,17405,0.58831,0.36697,0.94635,0.90016,0.7692,0.83421,0.62265,1.07429,0.72222,1.29565,0.001288,0.001288,0.001288
90,17594.4,0.5852,0.36527,0.94608,0.90157,0.76414,0.83425,0.62252,1.06927,0.72403,1.29115,0.001189,0.001189,0.001189
91,17783.9,0.56407,0.34022,0.93827,0.92008,0.75888,0.83536,0.62063,1.08312,0.72831,1.29726,0.00109,0.00109,0.00109
92,17971.8,0.55019,0.33486,0.93235,0.92231,0.75357,0.83442,0.6183,1.08983,0.72893,1.30414,0.000991,0.000991,0.000991
93,18160.5,0.54574,0.33044,0.92873,0.92483,0.74561,0.83434,0.61776,1.09156,0.7249,1.30451,0.000892,0.000892,0.000892
94,18347.6,0.53593,0.32652,0.92578,0.92312,0.75203,0.83646,0.62107,1.08615,0.71929,1.30201,0.000793,0.000793,0.000793
95,18536.6,0.53476,0.32565,0.92453,0.90576,0.76591,0.83717,0.62271,1.08345,0.72104,1.302,0.000694,0.000694,0.000694
96,18725.5,0.53079,0.3231,0.92115,0.90334,0.7661,0.83743,0.62226,1.08068,0.71714,1.30086,0.000595,0.000595,0.000595
97,18913.6,0.52661,0.32097,0.91958,0.90888,0.7634,0.83686,0.62283,1.07703,0.71541,1.29949,0.000496,0.000496,0.000496
98,19101.4,0.52069,0.31615,0.91618,0.90764,0.76278,0.83573,0.6233,1.0746,0.71619,1.30047,0.000397,0.000397,0.000397
99,19289.2,0.51541,0.31453,0.91449,0.90568,0.76549,0.83582,0.62411,1.07359,0.71733,1.30104,0.000298,0.000298,0.000298
100,19477.4,0.51427,0.31432,0.91348,0.90533,0.76473,0.83558,0.62441,1.07357,0.71703,1.30117,0.000199,0.000199,0.000199
