epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,11488.8,0.54861,0.33598,0.86418,0.92803,0.76834,0.84023,0.64621,1.00129,0.60648,1.04836,0.003862,0.003862,0.003862
64,11670.1,0.54601,0.33499,0.86465,0.93529,0.77141,0.84053,0.64845,0.99217,0.60589,1.04913,0.003763,0.003763,0.003763
65,11852.7,0.54408,0.33299,0.86216,0.94868,0.76612,0.84877,0.65399,0.9828,0.60139,1.04741,0.003664,0.003664,0.003664
66,12035.1,0.5362,0.32883,0.86067,0.94149,0.77167,0.84808,0.65231,0.98779,0.60058,1.03936,0.003565,0.003565,0.003565
67,12217,0.53704,0.32776,0.85748,0.94406,0.77146,0.84663,0.64887,0.99254,0.59147,1.03895,0.003466,0.003466,0.003466
68,12398.3,0.52963,0.32385,0.85699,0.93871,0.77009,0.84807,0.64759,0.98276,0.5857,1.03464,0.003367,0.003367,0.003367
69,12579.7,0.52655,0.32144,0.85626,0.94707,0.76052,0.84417,0.64492,0.97739,0.57943,1.0355,0.003268,0.003268,0.003268
70,12760.8,0.51982,0.31668,0.85491,0.94886,0.76265,0.84101,0.64166,0.98353,0.58085,1.0408,0.003169,0.003169,0.003169
71,12941.9,0.51944,0.31667,0.85667,0.93915,0.76756,0.84029,0.64951,0.97482,0.58144,1.03382,0.00307,0.00307,0.00307
72,13123.3,0.52184,0.31821,0.85366,0.94951,0.76731,0.84481,0.64725,0.98368,0.57788,1.03328,0.002971,0.002971,0.002971
73,13304.6,0.5123,0.31297,0.85284,0.93475,0.77735,0.84853,0.65068,0.96331,0.55665,1.03397,0.002872,0.002872,0.002872
74,13486,0.51184,0.31273,0.8541,0.93112,0.7715,0.8402,0.64958,0.97087,0.56264,1.03814,0.002773,0.002773,0.002773
